split_group,filename,relpath,dog_id,width,height,is_readable,is_low_res,usable_for_training
train,0_1.jpg,images/0_1.jpg,0,224,224,True,False,True
train,0_2.jpg,images/0_2.jpg,0,224,224,True,False,True
train,0_3.jpg,images/0_3.jpg,0,224,224,True,False,True
train,0_4.jpg,images/0_4.jpg,0,224,224,True,False,True
train,0_5.jpg,images/0_5.jpg,0,224,224,True,False,True
train,1_1.jpg,images/1_1.jpg,1,224,224,True,False,True
train,1_2.jpg,images/1_2.jpg,1,224,224,True,False,True
train,1_3.jpg,images/1_3.jpg,1,224,224,True,False,True
train,1_4.jpg,images/1_4.jpg,1,224,224,True,False,True
train,1_5.jpg,images/1_5.jpg,1,224,224,True,False,True
test,2_1.jpg,images/2_1.jpg,2,224,224,True,False,True
test,2_2.jpg,images/2_2.jpg,2,224,224,True,False,True
test,2_3.jpg,images/2_3.jpg,2,224,224,True,False,True
test,2_4.jpg,images/2_4.jpg,2,224,224,True,False,True
test,2_5.jpg,images/2_5.jpg,2,224,224,True,False,True
test,2_6.jpg,images/2_6.jpg,2,224,224,True,False,True
test,2_7.jpg,images/2_7.jpg,2,224,224,True,False,True
test,2_8.jpg,images/2_8.jpg,2,224,224,True,False,True
test,3_1.jpg,images/3_1.jpg,3,224,224,True,False,True
test,3_2.jpg,images/3_2.jpg,3,224,224,True,False,True
test,3_3.jpg,images/3_3.jpg,3,224,224,True,False,True
test,3_4.jpg,images/3_4.jpg,3,224,224,True,False,True
test,3_5.jpg,images/3_5.jpg,3,224,224,True,False,True
test,3_6.jpg,images/3_6.jpg,3,224,224,True,False,True
train,4_1.jpg,images/4_1.jpg,4,224,224,True,False,True
train,4_2.jpg,images/4_2.jpg,4,224,224,True,False,True
train,4_3.jpg,images/4_3.jpg,4,224,224,True,False,True
train,4_4.jpg,images/4_4.jpg,4,224,224,True,False,True
train,5_1.jpg,images/5_1.jpg,5,224,224,True,False,True
train,5_2.jpg,images/5_2.jpg,5,224,224,True,False,True
