split,filename,relpath,dog_id,camera,sequence,frame,width,height,aspect_ratio,filesize_bytes
train,100_c1s6_1.jpg,train/100_c1s6_1.jpg,100,1,6,1,161,142,1.1338,6138
train,100_c1s6_5.jpg,train/100_c1s6_5.jpg,100,1,6,5,59,84,0.7024,2098
train,100_c2s5_7.jpg,train/100_c2s5_7.jpg,100,2,5,7,60,82,0.7317,2084
train,100_c3s2_2.jpg,train/100_c3s2_2.jpg,100,3,2,2,183,163,1.1227,14821
train,100_c3s5_8.jpg,train/100_c3s5_8.jpg,100,3,5,8,59,82,0.7195,2064
train,100_c4s1_0.jpg,train/100_c4s1_0.jpg,100,4,1,0,110,105,1.0476,7823
train,100_c4s4_6.jpg,train/100_c4s4_6.jpg,100,4,4,6,64,88,0.7273,2156
train,100_c4s5_6.jpg,train/100_c4s5_6.jpg,100,4,5,6,53,73,0.726,2102
train,100_c5s1_3.jpg,train/100_c5s1_3.jpg,100,5,1,3,108,103,1.0485,7410
train,100_c5s1_4.jpg,train/100_c5s1_4.jpg,100,5,1,4,115,90,1.2778,7127
train,100_c5s3_9.jpg,train/100_c5s3_9.jpg,100,5,3,9,190,157,1.2102,7729
train,101_c1s3_6.jpg,train/101_c1s3_6.jpg,101,1,3,6,208,161,1.2919,10102
train,101_c2s3_3.jpg,train/101_c2s3_3.jpg,101,2,3,3,205,183,1.1202,13817
train,101_c3s1_4.jpg,train/101_c3s1_4.jpg,101,3,1,4,184,165,1.1152,10157
train,101_c3s3_8.jpg,train/101_c3s3_8.jpg,101,3,3,8,96,178,0.5393,6364
train,101_c4s1_5.jpg,train/101_c4s1_5.jpg,101,4,1,5,210,177,1.1864,14304
train,101_c5s4_1.jpg,train/101_c5s4_1.jpg,101,5,4,1,151,175,0.8629,13536
train,101_c5s6_0.jpg,train/101_c5s6_0.jpg,101,5,6,0,358,223,1.6054,30238
train,101_c6s2_2.jpg,train/101_c6s2_2.jpg,101,6,2,2,98,116,0.8448,5595
train,102_c1s3_4.jpg,train/102_c1s3_4.jpg,102,1,3,4,94,181,0.5193,8083
train,102_c2s2_0.jpg,train/102_c2s2_0.jpg,102,2,2,0,94,181,0.5193,7771
train,102_c2s4_1.jpg,train/102_c2s4_1.jpg,102,2,4,1,88,166,0.5301,5354
train,102_c3s2_6.jpg,train/102_c3s2_6.jpg,102,3,2,6,89,169,0.5266,7094
