desertion_no,notice_no,process_state,happen_dt,happen_place,up_kind_nm,kind_nm,kind_full_nm,color_cd,age,weight,sex_cd,neuter_yn,special_mark,care_nm,care_tel,care_addr,org_nm,care_reg_no,notice_sdt,notice_edt,upd_tm,photo_urls,photo_local_paths
445464202602589,전북-전주-2026-00887,보호중,20260913,태평아이파크 앞 도로,개,말티즈,[개] 말티즈,흰색,2022(년생),6.5(Kg),M,Y,"깨끗함,미용돼있음",링크늘푸른동물병원,063-281-0075,전라북도 전주시 완산구 서원로 225 (중화산동2가) ,전북특별자치도 전주시,345464201700001,20260913,20260922,2026-09-13 19:32:19.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131909658.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131909545.jpg,images/445464202602589_0.jpg|images/445464202602589_1.jpg
443571202601813,충북-청주-2026-00747,보호중,20260913,봉명동 체리쉬 빌라,개,믹스견,[개] 믹스견,갈색&흰색,2023(년생),5(Kg),M,N,"경계심이 많음, 얼굴 만지려고 하면 입질, ",반려동물보호센터,043-201-2298,충청북도 청주시 흥덕구 강내면 서부로 411-23  청주시 반려동물 보호센터,충청북도 청주시,343571201600001,20260913,20260923,2026-09-13 17:18:08.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131709278.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131709315.jpg,images/443571202601813_0.jpg|images/443571202601813_1.jpg
443571202601812,충북-청주-2026-00746,보호중,20260913,남이외천 1길 50,개,믹스견,[개] 믹스견,갈색&검정&흰색,2026(년생),2.8(Kg),M,Y,"칩있음, 6개월, 매우 순함",반려동물보호센터,043-201-2298,충청북도 청주시 흥덕구 강내면 서부로 411-23  청주시 반려동물 보호센터,충청북도 청주시,343571201600001,20260913,20260923,2026-09-13 15:15:30.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131509690.jpeg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131509709.jpeg,images/443571202601812_0.jpeg|images/443571202601812_1.jpeg
442430202600155,강원-철원-2026-00155,보호중,20260913,장흥초등학교,개,포메라니안,[개] 포메라니안,붉고 엷은 황갈색,2026(년생),4(Kg),F,U,뒷다리가 좋지않음,철원군,033-450-5394,강원도 철원군 동송읍 장흥로 311  ,강원특별자치도 철원군,342430201900001,20260913,20260923,2026-09-13 12:31:33.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131209852.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131209887.jpg,images/442430202600155_0.jpg|images/442430202600155_1.jpg
442418202600855,강원-춘천-2026-00256,보호중,20260913,효자소방서,개,푸들,[개] 푸들,갈색,2017(년생),6(Kg),M,U,"온순,칩있음,파란하네스",춘천시 동물보호센터,033-245-5351,강원도 춘천시 신북읍 영서로 3282 (신북읍) (전)102보충대 주차장,강원특별자치도 춘천시,342418201300001,20260913,20260923,2026-09-13 17:33:58.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131709306.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131709325.jpg,images/442418202600855_0.jpg|images/442418202600855_1.jpg
442418202600854,강원-춘천-2026-00255,보호중,20260913,동산아파트 인근,개,믹스견,[개] 믹스견,갈색,2020(년생),3(Kg),F,U,온순,춘천시 동물보호센터,033-245-5351,강원도 춘천시 신북읍 영서로 3282 (신북읍) (전)102보충대 주차장,강원특별자치도 춘천시,342418201300001,20260913,20260923,2026-09-13 15:47:52.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131509551.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131509623.jpg,images/442418202600854_0.jpg|images/442418202600854_1.jpg
441417202601182,경기-양평-2026-00261,보호중,20260913,경기도 양평군 서종면 문호리 623 테라로사,개,시베리안 허스키,[개] 시베리안 허스키,검정&흰색,2023(년생),22.4(Kg),M,U,"사람을 좋아하고 먼저 다가오는 성격, 검정색 목줄 착용, 양쪽 눈 색이 다르고 왼쪽 귀가 접혀있음.",양평군유기동물보호소,031-770-2337,경기도 양평군 양평읍 농업기술센터길 59-1  ,경기도 양평군,341417201800001,20260913,20260923,2026-09-13 16:37:26.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131609104.png|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131609131.png,images/441417202601182_0.png|images/441417202601182_1.png
441417202601181,경기-양평-2026-00260,보호중,20260913,경기도 양평군 단월면 도룡골길 66-6,개,믹스견,[개] 믹스견,흰색,2021(년생),4.7(Kg),F,N,친화력 굉장히 좋으며 처음 본 사람 손길도 무서워 하지않으며 호기심이 굉장히 가득함,양평군유기동물보호소,031-770-2337,경기도 양평군 양평읍 농업기술센터길 59-1  ,경기도 양평군,341417201800001,20260913,20260923,2026-09-13 11:51:50.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131109836.png|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131109863.png,images/441417202601181_0.png|images/441417202601181_1.png
441386202601142,경기-부천-2026-00374,보호중,20260913,신흥로 190,개,믹스견,[개] 믹스견,검정색,2024(년생),3.6(Kg),F,U,"입소당시 등 피부 안좋음, 미용한지 두달되어보이는 털, 순함, 칩없음.",24시아이동물메디컬,032-677-5262,경기도 부천시 오정구 소사로 779 (원종동) 201호,경기도 부천시,341386200900001,20260913,20260923,2026-09-13 20:05:38.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609132009350.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609132009967.jpg,images/441386202601142_0.jpg|images/441386202601142_1.jpg
413578202601736,광주-목포-2026-00108,보호중,20260913,우리세향교회부근(10:30),개,말티즈,[개] 말티즈,흰색,2022(년생),4.5(Kg),M,N,"분홍색목줄착용,눈과 입주변 변색",목포시유기동물보호소,010-9678-9966,전라남도 무안군 삼향읍 석매길 36  ,전남광주통합특별시 목포시,346480201000001,20260913,20260923,2026-09-13 14:02:30.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131409609.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609131409640.jpg,images/413578202601736_0.jpg|images/413578202601736_1.jpg
469569202600622,세종-세종-2026-00256,보호중,20260912,세종시 부강면 부강리 138(부강면사무소근처),개,믹스견,[개] 믹스견,엷은 황갈색&흰색,2022(년생),4.7(Kg),F,N,.,세종유기동물보호센터,010-4435-3720,세종특별자치시  전동면 미륵당1길 188 (전동면) ,세종특별자치시,369569202000001,20260912,20260922,2026-09-12 21:52:50.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609122109392.jpeg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609122109434.jpeg,images/469569202600622_0.jpeg|images/469569202600622_1.jpeg
448537202601410,경남-거제-2026-00454,보호중,20260912,서정리 350-3번지,개,믹스견,[개] 믹스견,갈색&흰색,2020(년생),5(Kg),F,N,"포획틀에잡힘,임신추정",거제시동물보호센터,055-639-6368,경상남도 거제시 사등면 두동로1길 107  거제시동물보호센터,경상남도 거제시,348537200900002,20260912,20260922,2026-09-12 12:32:19.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121209616.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121209620.jpg,images/448537202601410_0.jpg|images/448537202601410_1.jpg
448537202601409,경남-거제-2026-00453,보호중,20260912,서정리 350-3번지,개,믹스견,[개] 믹스견,흰색,2025(년생),5(Kg),M,N,포획틀에잡힘,거제시동물보호센터,055-639-6368,경상남도 거제시 사등면 두동로1길 107  거제시동물보호센터,경상남도 거제시,348537200900002,20260912,20260922,2026-09-12 12:26:27.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121209385.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121209351.jpg,images/448537202601409_0.jpg|images/448537202601409_1.jpg
448536202600844,경남-밀양-2026-00495,보호중,20260912,삼랑진읍,개,믹스견,[개] 믹스견,갈색&검정,2026(년생),3(Kg),M,N,"공고번호 477,492와 동배 추정, 세마리 모두 외모와 성격이 비슷함",밀양시 동물보호센터,070-4113-7288,경상남도 밀양시 삼랑진읍 천태로 472 (삼랑진읍) ,경상남도 밀양시,348536201800001,20260912,20260921,2026-09-12 10:17:26.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121009740.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121009787.jpg,images/448536202600844_0.jpg|images/448536202600844_1.jpg
448531202601318,경남-진주-2026-00312,보호중,20260912,진주 소방서,개,믹스견,[개] 믹스견,검정&흰색,2024(년생),13.9(Kg),M,N,온순 사람잘따름 119구조 당시 빨강 목태 착용,진주시동물보호센터,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",경상남도 진주시,348531201000001,20260912,20260922,2026-09-12 17:15:08.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/20260912170984.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121709100.jpg,images/448531202601318_0.jpg|images/448531202601318_1.jpg
448531202601317,경남-진주-2026-00311,보호중,20260912,진주시 대곡면 단목리 553-2,개,믹스견,[개] 믹스견,흰색&황갈색,2022(년생),19.2(Kg),M,N,온순 119구조개체 구조당시 하늘색 목태 착용 ,진주시동물보호센터,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",경상남도 진주시,348531201000001,20260912,20260922,2026-09-12 11:44:35.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121109473.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121109495.jpg,images/448531202601317_0.jpg|images/448531202601317_1.jpg
448531202601316,경남-진주-2026-00310,보호중,20260912,진주시 집현면 지내리 319,개,믹스견,[개] 믹스견,갈색&검정,2026(년생),2.2(Kg),M,N,겁많고 방어적임,진주시동물보호센터,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",경상남도 진주시,348531201000001,20260912,20260922,2026-09-12 11:41:01.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121109905.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121109920.jpg,images/448531202601316_0.jpg|images/448531202601316_1.jpg
448531202601315,경남-진주-2026-00309,보호중,20260912,진주시 집현면 지내리 319,개,믹스견,[개] 믹스견,갈색&검정,2026(년생),2.2(Kg),F,N,겁많고 방어적임,진주시동물보호센터,055-749-6134,"경상남도 진주시 집현면 신당길207번길 22 (집현면, 지역농업개발시설) ",경상남도 진주시,348531201000001,20260912,20260922,2026-09-12 11:39:41.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121109452.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121109480.jpg,images/448531202601315_0.jpg|images/448531202601315_1.jpg
447511202601181,경북-상주-2026-00307,보호중,20260912,삼포순환로 199,개,믹스견,[개] 믹스견,갈색&흰색,2023(년생),22.6(Kg),M,N,"꼬리절단수술(짧음),온순함,파란목줄,모서소방서 인계받음",상주시 동물보호센터,010-6682-1198,경상북도 상주시 사벌국면 상풍로 124  ,경상북도 상주시,347511202000001,20260912,20260922,2026-09-12 17:06:14.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121709441.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/20260912170913.jpg,images/447511202601181_0.jpg|images/447511202601181_1.jpg
447505202600885,경북-경주-2026-00713,보호중,20260912,대경로 4422,개,라브라도 리트리버,[개] 라브라도 리트리버,크림색,2022(년생),26(Kg),F,N,주인에게 반환 예정,경주동물사랑보호센터,010-8889-2883,경상북도 경주시 천북면 천북로 8-4  경주시 동물사랑보호센터,경상북도 경주시,347505201700001,20260912,20260922,2026-09-12 11:05:28.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121109179.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121109224.jpg,images/447505202600885_0.jpg|images/447505202600885_1.jpg
445467202601669,전북-군산-2026-00781,보호중,20260912,평화길 24 대박토탈의상집,개,믹스견,[개] 믹스견,흰색,2026(년생),5(Kg),M,N,4개월추정 순함,군산유기동물보호센터,063-451-2975,전북특별자치도 군산시 대야면 보덕안정길 124  ,전북특별자치도 군산시,345467201000001,20260912,20260928,2026-09-12 15:44:13.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/20260912150902.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/20260912150948[1].jpg,images/445467202601669_0.jpg|images/445467202601669_1.jpg
445467202601668,전북-군산-2026-00780,보호중,20260912,제일동물병원,개,믹스견,[개] 믹스견,레몬색&흰색,2025(년생),8(Kg),M,N,교통사고후 병원에서 수술 대퇴골절,군산유기동물보호센터,063-451-2975,전북특별자치도 군산시 대야면 보덕안정길 124  ,전북특별자치도 군산시,345467201000001,20260912,20260928,2026-09-12 15:30:01.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121509886[1].jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121509453.jpg,images/445467202601668_0.jpg|images/445467202601668_1.jpg
443571202601811,충북-청주-2026-00745,보호중,20260912,서원초등학교 운동장,개,이탈리안 그레이 하운드,[개] 이탈리안 그레이 하운드,회색,2020(년생),5.8(Kg),M,N,매우 순하고 사람 좋아함,반려동물보호센터,043-201-2298,충청북도 청주시 흥덕구 강내면 서부로 411-23  청주시 반려동물 보호센터,충청북도 청주시,343571201600001,20260912,20260922,2026-09-12 14:10:50.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121409986.jpeg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/20260912140911.jpeg,images/443571202601811_0.jpeg|images/443571202601811_1.jpeg
443447202600554,충북-음성-2026-00357,보호중,20260912,감곡면 주천리 320(봉은사),개,믹스견,[개] 믹스견,흰색,2026(년생),6(Kg),M,N,겁이 많은편,음성군 동물보호센터,043-877-3081,충청북도 음성군 삼성면 대금로 715-5  ,충청북도 음성군,343447202600001,20260912,20260922,2026-09-12 13:29:07.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121309289.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121309387.jpg,images/443447202600554_0.jpg|images/443447202600554_1.jpg
443447202600553,충북-음성-2026-00356,보호중,20260912,감곡면 주천리 320(봉은사),개,믹스견,[개] 믹스견,기타(옅은갈색),2026(년생),6(Kg),M,N,성격이 온순한 편입니다,음성군 동물보호센터,043-877-3081,충청북도 음성군 삼성면 대금로 715-5  ,충청북도 음성군,343447202600001,20260912,20260922,2026-09-12 13:29:07.0,http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121309668.jpg|http://openapi.animal.go.kr/openapi/service/rest/fileDownloadSrvc/files/shelter/2026/09/202609121309863.jpg,images/443447202600553_0.jpg|images/443447202600553_1.jpg
